id,name,type,quality,faction,cost,skill_summary,awakening,image,version,source
effect-7505,换帅,效果牌,3,三分之地,,指定1名【三分】英雄与其最近的【三分】英雄交换等级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/919374ac91cdae293f0d227bd78b69d3ae978213bb6e772215fac3d83079c1c1.webp,官方 2026-08-28,官方卡牌资料
effect-7032,照影,效果牌,3,通用,,随机获得1张场上英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/45c6676ce23db10768046e76b2cd4b0e1e15ff6ceb0f8b9591acd876588bc943.webp,官方 2026-08-28,官方卡牌资料
effect-7501,助力核心,效果牌,3,日落海,,阿科米亚核心等级+2，场上每有1名【日落海】英雄重复1次。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/1e7dcc061fac51cfbc1701fa8dac8ca42fb5141b1e06d44766cd1377241730d0.webp,官方 2026-08-28,官方卡牌资料
effect-7088,超级补贴,效果牌,3,通用,,获得4次免费刷新。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/cb3db6190d15fab34296cb3b131cf789b7852d0ca641712b3035648967bc9792.webp,官方 2026-08-28,官方卡牌资料
effect-7536,夺取之术,效果牌,4,无阵营,,指定1名英雄，夺取最近1名己方英雄的等级（最多10级，不包含临时等级）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/eac6c97a23c847614231aca7352ea751de508b573736c75f93ada496448a3ba3.webp,官方 2026-08-28,官方卡牌资料
effect-7521,4阶英雄,效果牌,4,无阵营,,获得2张4阶英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/da08eb645f2e85884213e334d63475b69ea2d0268fd747f420da4c207210657c.webp,官方 2026-08-28,官方卡牌资料
effect-313014,高阶演练战术,效果牌,4,逐鹿,,转瞬 所有英雄等级+2。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/bee545e124a28a37f373ae07ba7403767eb64b7e0ed9af37cc11a80f04f95857.webp,官方 2026-08-28,官方卡牌资料
effect-7081,武装重构,效果牌,4,通用,,指定1名英雄，摧毁其所有装备，随机获得对应数量+1的基础装备。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a8df2743efe0ac9f2388a1a48c196e1c757f14a17285527add20bc7115b02a7a.webp,官方 2026-08-28,官方卡牌资料
effect-7503,阵营祝福,效果牌,4,无阵营,,各阵营中随机1名英雄等级+4。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/ed5097fe9c241cc4f9a1e1e2f651bb9087c2368d872e2c6fda6b9a1934045989.webp,官方 2026-08-28,官方卡牌资料
effect-7504,发号施令,效果牌,4,逐鹿,,随机获得2张战术牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/a3415b865a7e58363f47d97f462576c12cda5aff7faed4fb5b25aed5b421ebf3.webp,官方 2026-08-28,官方卡牌资料
effect-313010,高阶招募战术,效果牌,4,逐鹿,,转瞬 3选1【逐鹿】英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/60739314e7af7e1710f043a5d4147aa9349b4a9417d0c71fd90884de60d11910.webp,官方 2026-08-28,官方卡牌资料
effect-313009,高阶特训战术,效果牌,4,逐鹿,,转瞬 指定1名英雄等级+8。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4b84563bba64951be6f8f5099e1f64541a216464651a8580edace4a4a261d526.webp,官方 2026-08-28,官方卡牌资料
effect-313008,高阶援护战术,效果牌,4,逐鹿,,转瞬 全体【逐鹿】英雄本回合获得100（+50×战术牌打出次数，当前：150）点护盾。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/c28126be0faa9146e9d30fd808ec23f21f1ab79d5b45e5243853e948ef441e87.webp,官方 2026-08-28,官方卡牌资料
effect-7054,4阶英雄兑换券,效果牌,4,通用,,卡牌3选1（4阶英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3b075228e691caee676b071db31526958863612d1d3990d75b0a274b84fa3fd8.webp,官方 2026-08-28,官方卡牌资料
effect-7066,扶倾济弱,效果牌,4,通用,,使场上等级最低（临时等级除外）的英雄提升9级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2a7efb90a0eea11fb312c70aac4e00a45db3fccb993806cc68bae42ed52e2e60.webp,官方 2026-08-28,官方卡牌资料
effect-307002,妙音,效果牌,4,无阵营,,指定1名英雄，使其觉醒进度+1。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/09dc8bb1283f4ccd05a65820583a51658635428a2bb018924016c0f0e9ab3446.webp,官方 2026-08-28,官方卡牌资料
effect-7540,乱世,效果牌,4,三分之地,,卡牌3选1（登场英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/695c17adef5e68f24a8814438e6cda7d24e7176dd970962a4d63e135b44a76d0.webp,官方 2026-08-28,官方卡牌资料
effect-7538,战前宣誓,效果牌,4,河洛,,指定1名英雄，获得自身品阶×3的临时等级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/dd595149390526dee0b7fd547b93c8f4d4df740227d2daa04ad2e939c4f3919f.webp,官方 2026-08-28,官方卡牌资料
effect-7535,逍遥自在,效果牌,4,无阵营,,所有无阵营英雄获得2×场上无阵营英雄数量的等级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/56b8603d6939e4eba094e12cfd656bfd97fa57834f0a941e8b02131deeca6652.webp,官方 2026-08-28,官方卡牌资料
effect-7514,牺牲品,效果牌,4,河洛,,获得2张具有牺牲效果的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/ec2a15eb9c4ef3dcfd1b96f7eca68a7ad3e8b553a3a9aa23b253e0beece4b014.webp,官方 2026-08-28,官方卡牌资料
effect-7515,闪现突击者,效果牌,4,无阵营,,获得2张具有闪现效果的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f052c26d0885be8698bdede161b113c5225d77c616af61c7761edba58e64300a.webp,官方 2026-08-28,官方卡牌资料
effect-7516,开团号令,效果牌,4,大河流域,,获得2张具有开团效果的英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/76c7b9ef9768c638fe1bf4193badb12be9e18871568f03a22f192bdb89e2f1a5.webp,官方 2026-08-28,官方卡牌资料
effect-7529,远洋宝藏,效果牌,4,日落海,,从5件【日落海】专属装备中随机获得1件（不会重复获得）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/deef1a6451c4a5677110f6331bee9fa4a78976483d35c82433d2c7bbf7b9c08b.webp,官方 2026-08-28,官方卡牌资料
effect-7534,因材施教,效果牌,5,无阵营,,随机获得1张你场上主要阵营相关的效果牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/91610a03a4c4fe0d849422609242bc786737263d46b35e0be9bdedcacba92574.webp,官方 2026-08-28,官方卡牌资料
effect-7083,传承,效果牌,5,通用,,指定场上1名10级以上的英雄，将其等级随机分配给3名其他英雄（不会分配给同一英雄）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f71ce48507fbb0e240e94d2a7381f4a81bc17e4a0470a410c39140f93e625bff.webp,官方 2026-08-28,官方卡牌资料
effect-313012,高阶推演战术,效果牌,5,逐鹿,,转瞬 指定1名【逐鹿】英雄，使其本回合法力值上限{推演高级战术:-10}（每次使用此牌都会提升效果，上限40点）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/e2620993ba1c5aff6b65fe4ae9b8164679cf6d1cfaaf0c34d0ae6a5fc57911e8.webp,官方 2026-08-28,官方卡牌资料
effect-7525,度命之护,效果牌,5,河洛,,获得1张特殊装备贤者的庇护。可穿戴给【河洛】英雄，穿戴者会在首次被击败的2秒后复生，仅恢复30%生命值。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d75e04f0c9a3b2d564255881715bbaf23e7d6669e4cf2cc23baf714be806c72f.webp,官方 2026-08-28,官方卡牌资料
effect-7089,武装分解,效果牌,5,通用,,指定1名英雄，摧毁其所有装备： 摧毁1件获得4能量；2件获得1张妙音；3件获得1张珍品宝箱。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/0991219a1c99b3b238fe694b2144e4f93ccca5970edd06fa3540c9d5eac76c7e.webp,官方 2026-08-28,官方卡牌资料
effect-7530,久经沙场,效果牌,5,逐鹿,,指定1名已觉醒的【逐鹿】英雄，获得1张该英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/53abf248c5b7ab08ac35b07bd4374a86217e80cd3d5290bc673c1c76a172b01f.webp,官方 2026-08-28,官方卡牌资料
effect-7531,机关秘典,效果牌,5,逐鹿,,获得1件特殊装备机关匣：可穿戴给【逐鹿】英雄，使其获得效果：战斗开始时，召唤2个“故障机器人”。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f174e8e9e55e8d4404edd1344499e6a91200b4401114dc3513587a43e8499dbf.webp,官方 2026-08-28,官方卡牌资料
effect-7532,图腾祝福,效果牌,5,大河流域,,随机1名【大河流域】英雄等级+5。场上每有1个图腾，额外触发1次此效果。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8557ec36f4fc7a2c86e71891e6ea359d128d5e5366f082099ed5e16726432295.webp,官方 2026-08-28,官方卡牌资料
effect-7090,珍品宝箱,效果牌,5,通用,,卡牌3选1（特殊装备或天赋装备）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/1f88d59c9e31791721b14a13b9909eacb9e01f00fe1b9fb722eb6b1c3e7ea698.webp,官方 2026-08-28,官方卡牌资料
effect-7085,移花接木,效果牌,5,通用,,在下场战斗中，随机1名英雄获得敌方当前等级最高英雄的一半等级（包含临时等级）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b63302315bbed942fa7a85402bcdc3c69e9657854625fd48506ec8a96e1d9b58.webp,官方 2026-08-28,官方卡牌资料
effect-7522,5阶英雄,效果牌,5,无阵营,,获得2张5阶英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2aa9ef230935990ebaa39eec83c1e0e892d802d30b03c226058e31712f87a357.webp,官方 2026-08-28,官方卡牌资料
effect-7055,5阶英雄兑换券,效果牌,5,通用,,卡牌3选1（5阶英雄牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/4e69db8a202d4849ff865276e504333076bbb49f0d85f89808e0bf3e6f04a6dc.webp,官方 2026-08-28,官方卡牌资料
effect-7076,有福同享,效果牌,5,通用,,指定1名英雄，场上和其品阶相同的英雄等级+3。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/db14b11f2b98edc6de6d5647c9d861b4c0c116b9cf43484e02ce298435e16d6f.webp,官方 2026-08-28,官方卡牌资料
effect-7064,求贤,效果牌,5,通用,,指定1名英雄，发现与其同阵营的3张英雄牌，从中选择1张。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/66467a1fda66c00a86ceac084196eaa3492afeb2a73656ad6be2e4120bf07b9b.webp,官方 2026-08-28,官方卡牌资料
effect-7539,奇谋,效果牌,5,三分之地,,指定1名【三分】英雄，下场战斗开始时会立即释放技能。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/9fd06e3c9db8239e37d23b4e37855ff464f5d1f07f0e1bea290493bf634bd3d1.webp,官方 2026-08-28,官方卡牌资料
effect-10403,开局狂飙,效果牌,5,通用,,指定1名英雄，本回合开战后前15秒内，可以无限释放技能。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/2d7ad895a05f0a1fa53f4d0f7fc37f37d74ea07966316df0099f25a087a429fc.webp,官方 2026-08-28,官方卡牌资料
effect-7075,能量大爆炸,效果牌,5,通用,,获得5能量。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/3e6980f1ac4e70ae5598ef6fd60a74ebfdb37db2878d79d6fa292d98eed912ec.webp,官方 2026-08-28,官方卡牌资料
effect-7079,集体唤醒,效果牌,5,通用,,立即触发所有英雄的登场效果。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/e6cea9d1fe2cc636f3eb3e6fb025fb744f1ef1dbf02c39cc64b53a2d5f3e5185.webp,官方 2026-08-28,官方卡牌资料
effect-7080,全军动员,效果牌,5,通用,,立即触发所有英雄的整备效果。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/386f4853043c0897124950ecbd9fc5ec47c40e5fd9def12ff2fc36c70f088303.webp,官方 2026-08-28,官方卡牌资料
effect-7082,精选武装,效果牌,5,通用,,卡牌4选1（基础装备牌）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/f1cf1c498dd286153159c4b520a8e6228fceca0ccac50bcf8f4bac1539c0eba7.webp,官方 2026-08-28,官方卡牌资料
effect-7107,众星闪耀,效果牌,6,通用,,全体己方英雄等级+10。每持有一回合，此效果增强5级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/84896c690527a31d6e8ae97e05cb12e21ab15e3e4ee3d9a268898ec02c0a8372.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7084,展翅腾飞,效果牌,6,通用,,本回合刷新商店不消耗能量。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/67109b51f8b68f6bc6fdb4d815ac86e155521226354053d3c1db9cd54ce228ed.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7109,军械库,效果牌,6,通用,,随机获得3张基础装备牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/b88a0d7eb3ef976160dd4e05982c6fa17f957068af5c7a16fb720866b1e8f85e.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-10404,众星拱月,效果牌,6,通用,,指定1名英雄，夺取其他英雄各10级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/59219abd825b2c5173bc93b44c6215ca8e3f49547e7f62e139a369ba5b796d59.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7108,神兵天降,效果牌,6,通用,,获得4张5阶英雄兑换券。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/ef575acbbeaaab28f0376d52eacfc1e78e065520c04f7b5729ce28ec929737a3.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7111,呼风唤雨,效果牌,6,通用,,随机获得4张5阶效果牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/7a0de18d2d7112f22be03fbb704890c66e9089524a4a7cae12b493fc0d4814fb.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7102,破境之证,效果牌,6,通用,,指定1名英雄立即提升20级，之后每回合提升10级。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8078ad82c8f6dd4683c1f4e12e3c79384a6406c53bb080b08bbc7812153fb28c.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7123,天籁琴音,效果牌,6,通用,,获得3张妙音（妙音：指定1名英雄，使其觉醒进度+1）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/8b714e1bafddc5adda8a4014692a298f6d93e7458e4a0b76bc2d00b4fc7b3a1f.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7112,绝处逢生,效果牌,6,通用,,棋手生命值变为1，随机获得10张效果牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/365c3c2598f2b31d37c0fd10bf1fb3b4acde010f0467f965402b12a8cc0c788d.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7113,化铁为金,效果牌,6,通用,,指定1名1-3阶的英雄随机变为不在场的5阶英雄，觉醒并保留其当前等级（包括临时等级）。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/d33a92201ceb8452f48e80031f3894a2986f8752456a4e69a0b97a676bb882c3.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7104,超级复印机,效果牌,6,通用,,随机获得3张相同的场上英雄牌。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/57f428645dd88b68b087dff8122736f115e068678c3a3d0bf05694d207bc46da.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7115,一线生机,效果牌,6,通用,,获得2张名刀·司命。你的棋手生命值本局第一次降至0时，不会被淘汰，并保留1棋手生命值。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/02149c31ddcb460e8cc95b343f5a6168d6a95df15510f93cbef342649f667454.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7116,能量超新星,效果牌,6,通用,,随机获得10-20能量。,,https://assets.wanxiangqiwiki.com/assets/official/2026-08-28/0ce9bc4f0c4695742f1a4d1179ce8c0619971c5b2c0670c111b7b98a6bddaf18.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
effect-7120,扶摇直上,效果牌,6,通用,,棋手等级提升1。如果已满级，改为获得10能量。,,https://assets.wanxiangqiwiki.com/assets/webp/效果牌_扶摇直上_7120_主卡图.webp,官方 2026-08-28 · 玩法核验 2026-08-05,官方卡牌资料 / 玩法核验
