id,name,quality,faction,template,growth_formula,L1_生命,L1_物攻,L1_法攻,L1_物防,L1_法防,L1_基础攻速,L10_生命,L10_物攻,L10_法攻,L10_物防,L10_法防,L10_基础攻速,L40_生命,L40_物攻,L40_法攻,L40_物防,L40_法防,L40_基础攻速,L100_生命,L100_物攻,L100_法攻,L100_物防,L100_法防,L100_基础攻速,L150_生命,L150_物攻,L150_法攻,L150_物防,L150_法防,L150_基础攻速,L200_生命,L200_物攻,L200_法攻,L200_物防,L200_法防,L200_基础攻速
hero-5641,姬小满,3,日落海,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-1771,苍,3,无阵营,普通射手,每级物攻+1.8，生命+21,210,36,0,14,14,1,399,52.2,0,14,14,1.05,1029,106.2,0,14,14,1.1,2289,214.2,0,14,14,1.15,3339,304.2,0,14,14,1.2,4389,394.2,0,14,14,1.25
hero-1931,铠,3,河洛,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-1201,白起,3,逐鹿,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-5011,明世隐,3,无阵营,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-1161,阿轲,3,无阵营,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-5181,马超,3,三分之地,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-5021,裴擒虎,3,无阵营,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-1391,老夫子,3,逐鹿,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-5231,西施,3,逐鹿,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1141,刘禅,3,三分之地,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-5111,猪八戒,3,无阵营,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1441,程咬金,3,河洛,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1331,狄仁杰,3,河洛,普通射手,每级物攻+1.8，生命+21,210,36,0,14,14,1,399,52.2,0,14,14,1.05,1029,106.2,0,14,14,1.1,2289,214.2,0,14,14,1.15,3339,304.2,0,14,14,1.2,4389,394.2,0,14,14,1.25
hero-zhangliang,张良,3,大河流域,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-shaosiyuan,少司缘,3,大河流域,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-1661,亚瑟,3,日落海,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1751,钟馗,3,河洛,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-1411,貂蝉,3,三分之地,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1421,安琪拉,3,日落海,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-5051,瑶,3,大河流域,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-5311,镜,3,逐鹿,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-1591,朵莉亚,3,日落海,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-5451,莱西奥,4,日落海,416射手,每级物攻+2，生命+21,210,40,0,14,14,1,399,58,0,14,14,1.05,1029,118,0,14,14,1.1,2289,238,0,14,14,1.15,3339,338,0,14,14,1.2,4389,438,0,14,14,1.25
hero-5131,上官婉儿,4,河洛,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-3551,艾琳,4,日落海,法射,每级物攻+1.6，法攻+1，生命+21,210,32,20,14,14,1,399,46.4,29,14,14,1.05,1029,94.4,59,14,14,1.1,2289,190.4,119,14,14,1.15,3339,270.4,169,14,14,1.2,4389,350.4,219,14,14,1.25
hero-1191,扁鹊,4,逐鹿,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-yingzheng,嬴政,4,逐鹿,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-lixin,李信,4,河洛,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-1311,李白,4,河洛,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-1831,雅典娜,4,日落海,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1861,太乙真人,4,无阵营,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1671,孙悟空,4,无阵营,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-1271,甄姬,4,三分之地,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1061,小乔,4,三分之地,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-5171,大司命,4,大河流域,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-1131,庄周,4,逐鹿,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1491,刘邦,4,大河流域,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1901,诸葛亮,4,三分之地,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1501,韩信,4,大河流域,刺客,每级物攻+2，生命+24,240,40,0,16,16,0.8,456,58,0,16,16,0.8,1176,118,0,16,16,0.8,2616,238,0,16,16,0.8,3816,338,0,16,16,0.8,5016,438,0,16,16,0.8
hero-mengya,蒙犽,4,逐鹿,416射手,每级物攻+2，生命+21,210,40,0,14,14,1,399,58,0,14,14,1.05,1029,118,0,14,14,1.1,2289,238,0,14,14,1.15,3339,338,0,14,14,1.2,4389,438,0,14,14,1.25
hero-donghuang,东皇太一,5,大河流域,物理坦克,每级物攻+1.6，生命+33,330,32,0,20,20,0.6,627,46.4,0,22,20,0.6,1617,94.4,0,25,20,0.6,3597,190.4,0,28,20,0.6,5247,270.4,0,30,20,0.6,6897,350.4,0,32,20,0.6
hero-aoyin,敖隐,5,大河流域,普通射手,每级物攻+1.8，生命+21,210,36,0,14,14,1,399,52.2,0,14,14,1.05,1029,106.2,0,14,14,1.1,2289,214.2,0,14,14,1.15,3339,304.2,0,14,14,1.2,4389,394.2,0,14,14,1.25
hero-5251,鲁班大师,5,逐鹿,辅助,每级物攻+1.2，法攻+1，生命+27,270,24,20,18,18,0.6,513,34.8,29,18,20,0.6,1323,70.8,59,18,22,0.6,2943,142.8,119,18,26,0.6,4293,202.8,169,18,28,0.6,5643,262.8,219,18,30,0.6
hero-mulan,花木兰,5,河洛,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-sikongzhen,司空震,5,河洛,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1481,姜子牙,5,无阵营,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-1361,武则天,5,河洛,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-lvbu,吕布,5,三分之地,战士,每级物攻+2，生命+30,300,40,0,18,18,0.8,570,63,0,18,18,0.8,1470,128,0,18,18,0.8,3270,258,0,18,18,0.8,4770,363,0,18,18,0.8,6270,468,0,18,18,0.8
hero-haiyue,海月,5,无阵营,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
hero-1121,鲁班七号,5,逐鹿,416射手,每级物攻+2，生命+21,210,40,0,14,14,1,399,58,0,14,14,1.05,1029,118,0,14,14,1.1,2289,238,0,14,14,1.15,3339,338,0,14,14,1.2,4389,438,0,14,14,1.25
hero-hainuo,海诺,5,日落海,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-luna,露娜,5,日落海,法刺,每级物攻+1.4，法攻+1.8，生命+24,240,28,36,16,16,0.8,456,40.6,52.2,16,16,0.8,1176,82.6,106.2,16,16,0.8,2616,166.6,214.2,16,16,0.8,3816,236.6,304.2,16,16,0.8,5016,306.6,394.2,16,16,0.8
hero-yangyuhuan,杨玉环,5,无阵营,法师,每级法攻+2，物攻+1.2，生命+24,240,24,40,14,14,0.6,456,34.8,65,14,14,0.6,1176,70.8,132,14,14,0.6,2616,142.8,266,14,14,0.6,3816,202.8,373,14,14,0.6,5016,262.8,480,14,14,0.6
hero-zhouyu,周瑜,5,三分之地,法坦,每级物攻+1.2，法攻+1，生命+33,330,24,20,20,20,0.6,627,34.8,29,22,20,0.6,1617,70.8,59,25,20,0.6,3597,142.8,119,28,20,0.6,5247,202.8,169,30,20,0.6,6897,262.8,219,32,20,0.6
